pred_interval,space_time,MAPE,MAE
15,space8*time16,9.603127507,23.216671
15,space8*time20,10.4705712,24.51237345
15,space8*time24,9.710804897,23.86154522
15,space8*time28,9.727774306,22.7931364
15,space8*time32,9.233280884,23.06699543
15,space8*time36,9.553387448,23.22675993
15,space8*time40,9.129691528,23.12306544
15,space12*time4,10.70510829,24.57225633
15,space12*time8,10.2537161,23.7933676
15,space12*time12,9.362892464,22.17596167
15,space12*time16,9.469898344,23.16894711
15,space12*time20,9.772060044,23.20353393
15,space12*time24,9.138396173,21.59708984
15,space12*time28,9.358212982,22.22152189
15,space12*time32,9.156330361,23.33001956
15,space12*time36,9.139110842,21.82212171
15,space12*time40,8.712082328,21.29580051
15,space16*time4,9.484624737,21.94226577
15,space16*time8,9.471065053,22.07724507
15,space16*time12,9.00478351,21.32086141
15,space16*time16,8.677777486,21.20140933
15,space16*time20,9.008706106,21.28676058
15,space16*time24,8.732642584,20.80862547
15,space16*time28,8.941114219,20.60430148
15,space16*time32,8.663831929,21.28733559
15,space16*time36,8.929432854,20.86037842
15,space16*time40,8.319738009,20.91831644
15,space20*time4,9.203717143,21.13254549
15,space20*time8,8.921906518,21.41148866
15,space20*time12,8.526784015,20.28767943
15,space20*time16,8.503442425,20.83600554
15,space20*time20,8.806631545,20.6495994
15,space20*time24,8.562206447,20.68982282
15,space20*time28,8.601755702,19.90876848
15,space20*time32,8.334558922,20.48692533
15,space20*time36,8.764010579,21.263958
15,space20*time40,8.027981235,19.78248214
15,space24*time4,9.079283649,21.0787613
15,space24*time8,9.134969354,21.5908477
15,space24*time12,8.675051901,20.28589428
15,space24*time16,8.35517359,20.22703783
15,space24*time20,8.875945292,20.71795286
15,space24*time24,9.107357041,22.52659471
15,space24*time28,8.76443912,20.06288364
15,space24*time32,8.259478482,20.48129756
15,space24*time36,9.21257559,21.89007213
15,space24*time40,8.054873325,19.66821598
15,space28*time4,8.751754964,20.41755843
15,space28*time8,8.733784534,20.51751043
15,space28*time12,8.497342024,19.96115321
15,space28*time16,8.352353715,20.23159197
15,space28*time20,8.751953055,20.30511764
15,space28*time24,8.720603705,21.05444171
15,space28*time28,8.505864598,19.6344098
15,space28*time32,8.219643644,20.35379193
15,space28*time36,8.545240286,20.52897004
15,space28*time40,8.193532009,19.94801013
15,space32*time4,8.802648808,20.49154386
15,space32*time8,8.467456128,20.32098421
15,space32*time12,8.384506715,19.80354252
15,space32*time16,8.20434046,19.99475795
15,space32*time20,8.686357853,20.21248456
15,space32*time24,8.484020689,20.30390672
15,space32*time28,8.912461192,20.22597211
15,space32*time32,8.621741054,21.26633051
15,space32*time36,8.621918235,20.63656093
15,space32*time40,8.082974315,19.78404396
15,space36*time4,8.744647298,20.73987806
15,space36*time8,8.524484577,20.97533141
15,space36*time12,8.413995565,19.6396098
15,space36*time16,8.236982036,19.77968468
15,space36*time20,8.752341619,20.22388248
15,space36*time24,8.485669599,20.58927536
15,space36*time28,8.75040384,20.56015146
15,space36*time32,8.34299633,20.12417736
15,space36*time36,8.464527808,20.14164424
15,space36*time40,7.968137859,19.93246186
15,space40*time4,8.665272434,20.3500798
15,space40*time8,8.442837,20.24982466
15,space40*time12,8.268611302,19.48499139
15,space40*time16,8.594151937,20.29512715
15,space40*time20,9.132601884,21.11658616
15,space40*time24,8.367434064,20.29143108
15,space40*time28,8.505119691,19.62203662
15,space40*time32,8.265514045,20.32751406
15,space40*time36,8.524104851,20.29388781
15,space40*time40,8.269473886,21.44382872
20,space4*time4,13.23607118,30.61400292
20,space4*time8,11.86275474,28.58916928
20,space4*time12,11.01122924,26.6423315
20,space4*time16,10.4882695,26.42375305
20,space4*time20,10.4528597,25.71781318
20,space4*time24,10.23669217,25.4027242
20,space4*time28,9.74608631,24.56946453
20,space4*time32,10.15612325,25.03387346
20,space4*time36,9.658371831,24.35375368
20,space4*time40,9.536731495,24.0863333
20,space8*time4,12.69754487,28.78725886
20,space8*time8,11.58475861,27.41471318
20,space8*time12,10.90963272,25.95100761
20,space8*time16,10.4063678,26.34537519
20,space8*time20,10.35783748,25.03438201
20,space8*time24,10.19151467,25.20273355
20,space8*time28,9.810035644,24.96494239
20,space8*time32,10.08772554,24.21484123
20,space8*time36,9.525452352,23.77933866
20,space8*time40,9.535212236,23.53083899
20,space12*time4,12.00558047,26.99423395
20,space12*time8,11.02110444,25.94418519
20,space12*time12,10.23258087,23.67340006
20,space12*time16,9.982544199,24.35350972
20,space12*time20,9.88951132,23.94152699
20,space12*time24,9.714705803,23.76491149
20,space12*time28,9.550741612,23.2047101
20,space12*time32,10.30670275,24.3190978
20,space12*time36,9.255462808,23.08092641
20,space12*time40,9.3748557,22.61283981
20,space16*time4,10.63774077,23.49179374
20,space16*time8,9.833764079,23.23348178
20,space16*time12,9.680418296,23.42292905
20,space16*time16,9.436279892,22.97072579
20,space16*time20,9.446866246,23.03573136
20,space16*time24,9.478899345,22.58370394
20,space16*time28,8.884469364,21.8019996
20,space16*time32,9.225004753,21.93000433
20,space16*time36,9.146944831,22.85393101
20,space16*time40,8.709429086,21.47366962
20,space20*time4,10.01757451,22.16147184
20,space20*time8,9.267007984,21.92445618
20,space20*time12,9.171500261,21.87597413
20,space20*time16,9.176321545,22.19511764
20,space20*time20,9.175415619,22.10649192
20,space20*time24,8.874149373,22.01335421
20,space20*time28,8.687862069,21.29371229
20,space20*time32,8.965614279,21.08107353
20,space20*time36,8.844152639,21.52667552
20,space20*time40,8.785109636,21.39649594
20,space24*time4,9.707910381,22.0305065
20,space24*time8,9.20236737,21.53919219
20,space24*time12,9.228977522,21.45700397
20,space24*time16,8.788314117,21.4083664
20,space24*time20,8.909708508,21.44112418
20,space24*time24,9.04095655,21.84462812
20,space24*time28,8.5528403,21.48789363
20,space24*time32,8.920382902,21.84767419
20,space24*time36,8.514034845,21.22697794
20,space24*time40,8.564878782,21.52986347
20,space28*time4,9.810623386,22.10589058
20,space28*time8,9.168292114,21.33281724
20,space28*time12,8.991779438,21.17835043
20,space28*time16,8.925636419,21.35331611
20,space28*time20,8.559080476,20.9321503
20,space28*time24,9.012027365,22.59936724
20,space28*time28,8.480131855,21.36816484
20,space28*time32,8.761508786,21.40784343
20,space28*time36,8.7599685,21.36609851
20,space28*time40,8.737751175,21.23534966
20,space32*time4,9.415749385,21.28398547
20,space32*time8,8.88836717,20.95614327
20,space32*time12,8.879111996,20.85626397
20,space32*time16,8.569599056,20.67086838
20,space32*time20,8.622581133,20.8395133
20,space32*time24,8.64092833,20.7551306
20,space32*time28,8.347881355,20.55014629
20,space32*time32,8.756143191,20.86756564
20,space32*time36,8.696247218,21.96384353
20,space32*time40,8.658658214,21.21608303
20,space36*time4,9.511656683,21.81779368
20,space36*time8,9.035969481,21.40335266
20,space36*time12,9.127472919,21.45489157
20,space36*time16,8.725503834,20.87398118
20,space36*time20,8.662647532,20.50306496
20,space36*time24,8.868754517,21.85546053
20,space36*time28,8.671254262,21.83067957
20,space36*time32,8.895317418,21.64367438
20,space36*time36,8.688933765,21.52797959
20,space36*time40,8.456592464,20.97037679
20,space40*time4,9.422731409,21.35473417
20,space40*time8,9.063233171,21.58819339
20,space40*time12,8.807410865,20.98242808
20,space40*time16,8.610344164,20.7628927
20,space40*time20,8.522683758,20.47405455
20,space40*time24,8.76638461,21.35910248
20,space40*time28,8.323104814,21.0765948
20,space40*time32,9.285213881,21.78963913
20,space40*time36,8.587215815,21.01493757
20,space40*time40,8.508159284,21.03762386
